restaurant,url,reviews/0/review,reviews/0/rating,reviews/1/review,reviews/1/rating,reviews/2/review,reviews/2/rating,reviews/3/review,reviews/3/rating,reviews/4/review,reviews/4/rating
YOLO Gastro Lounge,https://www.zomato.com/pune/yolo-gastro-lounge-pimple-nilakh/reviews,"Poor service
Arogant Manager
Reserve dance floor for private party without intimation to others
Food quality is poor
No vibes
I regret and waste of money
Don't visit",1,Manoj Rana services was awesome,5,"Not Worth It
The food didn’t taste good, and the yeast items were really bad. Staff didn’t treat us well, and service was slow. The prices were much higher than what was shown online. Totally disappointing visit.",4,"Very Bad Experience
The food was not good, especially the items made with yeast. The service was slow and the staff was not friendly. The prices were too high, and the amount on the bill was more than what I saw on Tomato Booking. I won’t go there again.",3,Good food,2
C - Dock,https://www.zomato.com/pune/c-dock-hinjawadi/reviews,"C Dock is an excellent place with a great ambience. The prices are reasonable and the atmosphere is amazing. The dance floor was buzzing, and the DJ kept the energy high with a great mix of music. The staff were friendly and attentive, and the overall atmosphere was lively and inviting. Would definitely visit again🍻",5,"The vibes were just perfect, relaxed yet lively, with a stunning poolside view that made the dining experience even better. The food was delicious, full of flavor and beautifully presented.
The service was quick, polite, and attentive. Whether you’re planning a date night, family dinner, or a get-together with friends, this spot has it all, great ambience, tasty food, and that dreamy pool vibe. Will definitely be back soon!",4,"If you're looking for the perfect blend of delicious food and serene ambience, this place should be at the top of your list. I've visited multiple times, and every single time, they’ve nailed it — from the flavors on the plate to the calming vibe by the pool.
A special mention to Pankaj, who always takes incredible care of guests. He’s warm, attentive, and makes sure your dining experience is smooth from start to finish. Truly a great host and a big part of why I keep coming back! Highly recommend C-Dock.",3,good service and descent food,2,,
Teera,https://www.zomato.com/pune/teera-wakad/reviews,nice ambience,1,Food is good service I also very good. sumit did a pretty good job at service..,5,The ambience is awesome and so is the service provided by Mr. Sumit.,4,sumit was great at his service,2,,
The Barkhana,https://www.zomato.com/pune/the-barkhana-wakad/reviews,amazing taste I had jamacian chicken tikka,4,the noodles were bit smelly so not sure how fresh it was .. and zomato customer service is a joke ..,3,Good Food and ambience. but a unusual element in bill called STAFF CONTRIBUTION which is nearly 10%,2,,,,
Skylo 9,https://www.zomato.com/pune/skylo-9-1-wakad/reviews,Food and service was awesome.,1,"350rs hidden charges hai bhai.
water bottle cost is 90rs and gst costed me 100rs service charges 200rs + vat 10% which is again more 40rs not fair at all.",5,The food quality was good but the service was very late.,4,,,,
Cafe Peter,https://www.zomato.com/pune/cafe-peter-1-wakad/reviews,pizza was served absolutely cold. pan cake taste was not that good,1,,,,,,,,
Cherie,https://www.zomato.com/pune/cherie-hinjawadi/reviews,"Awesome food ,nice ambiance
Thanks you jayesh for ur service",1,"Service, food and ambience was very comfortable and soothing. Rakesh was very helpful.",4,"the food was good and the service was fast, Rakesh was good with suggestions over dishes and service. overall Very lovely place",3,,,,
Downtown Club,https://www.zomato.com/pune/downtown-club-hinjawadi/reviews,Extremely bad food. Need my money back,3,good service by the Staff,2,,,,,,
Rio Kitchen & Bar,https://www.zomato.com/pune/rio-kitchen-bar-1-hinjawadi/reviews,Excellent service by Tularam,1,Tularam provided service excellence and was happy for it,5,Tularam superb service!!,4,Tularam was great with the service,3,"We visited Rio Hinjewadi on a Saturday night with a group of 11 people, expecting a fun night out. Despite the place being almost empty, the staff refused to accommodate us on any of the available larger tables near the dance floor. Saying they don’t allow joining tables near dance floor. Instead, initially they gave us a table meant for 6, with one small table forcefully attached — definitely not enough for 11 people to sit comfortably. Later on somehow we asked them to give us one larger table in front of their dance floor.

Still, we let that slide and went ahead to enjoy the evening. We ordered a lot — our bill crossed ₹20,000 — but the food was just average, nothing...read more",2
Yakii,https://www.zomato.com/pune/yakii-balewadi/reviews,"amazing food, very good service by babli and ujwal. crazy ambience. must visit",1,Great service and ambience,3,the service was poor and the started served had to be made again as it was overcooked and oily (had ordered spring roll and it was not coated properly and broke while frying and was not checked by the chef before serving). This wasted 15 min of our time.,2,,,,
Spice Factory,https://www.zomato.com/pune/spice-factory-hinjawadi/reviews,Full of taste love to try again..,3,,,,,,,,
